LLNR,Name,Position,Characteristic,Height,Range,Structure,Remarks
520,St. Simons Light,"31-08-02.846N, 081-23-36.920W",FFl W 60s,104,23,White conical tower near brick building.,AIS: MMSI 993672490 Fixed range is 18 miles. Flashing range is 23 miles.
525,Brunswick Spoil Area Buoy B,"31-00-27.398N, 081-16-35.982W",,,,Yellow can.,
530,Brunswick Spoil Area Buoy A,"31-01-40.495N, 081-16-29.716W",,,,Yellow can.,
560,St. Marys Entrance Lighted Buoy STM,"30-42-54.054N, 081-14-38.666W",Mo (A) W,,6,Red and white stripes with red spherical topmark.,AIS: MMSI 993672157
565,Amelia Island Light,"30-40-23.407N, 081-26-32.946W",Fl W 10s,107,23,White conical tower.,Red from 344° to 360° covers shoal water in vicinity of Nassau Sound.
575,St. Johns Light,"30-23-10.163N, 081-23-52.820W",Fl (4)W 20s,83,19,White square tower on building.,Obscured from 179° to 354°. F R aerial obstruction light atop lantern.
580,Scripps Wave Data Lighted Buoy CDIP STA 194,"30-00-00.180N, 081-04-48.001W",Fl (5)Y 20s,,,Yellow sphere-shaped with antenna.,
585,St Augustine Lighted Whistle Buoy STA,"29-54-54.723N, 081-15-16.824W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,
590,St Augustine Light,"29-53-07.604N, 081-17-18.705W",FFl W 30s,161,19,Conical tower white base with black cornice; black and white spirally-banded shaft; black below lantern gallery deck; red above.,Fixed range is 19 miles. Flashing range is 24 miles.
595,Halifax River Yacht Club Buoy B,"29-04-39.943N, 080-51-29.187W",,,,Yellow spar.,Maintained from Apr. 15 to Nov. 1.
600,Halifax River Yacht Club Buoy D,"29-03-00.945N, 080-52-41.189W",,,,Yellow spar.,Maintained from Apr. 15 to Nov. 1.
605,Halifax River Yacht Club Buoy C,"29-09-00.937N, 080-49-29.183W",,,,Yellow spar.,Maintained from Apr. 15 to Nov. 1.
609,UNCW Ponce Lighted Wave Buoy A,"29-17-09.020N, 080-48-15.534W",Fl Y 4s,,,Yellow.,priv maint.
609.1,UNCW Ponce Lighted Wave Buoy B,"29-17-06.720N, 080-48-05.940W",Fl Y 2.5s,,,Yellow spherical.,priv maint.
610,Ponce de Leon Inlet Light,"29-04-50.177N, 080-55-41.078W",Fl (6)W 30s,159,22,Red brick conical tower.,
615,Ponce de Leon Inlet Lighted Bell Buoy 2,"29-04-46.031N, 080-53-29.015W",Fl R 2.5s,,5,Red.,
620,Hetzel Shoal Lighted Buoy 8,"28-38-06.959N, 080-21-01.995W",Fl R 6s,,5,Red.,
625,Cape Canaveral Light,"28-27-37.277N, 080-32-36.439W",Fl (2)W 20s,137,24,White and black bands; conical iron tower.,
627,Cape Canaveral Danger Zone Buoy A,"28-44-42.021N, 080-37-51.017W",,,,Yellow can.,AIS: MMSI 993672023
630,Cape Canaveral Danger Zone Buoy B,"28-36-06.273N, 080-31-21.353W",,,,Yellow can.,
635,Cape Canaveral Danger Zone Buoy C,"28-31-03.005N, 080-29-31.441W",,,,Yellow can.,
640,Cape Canaveral Danger Zone Buoy D,"28-27-37.803N, 080-28-07.445W",,,,Yellow can.,
645,Southeast Outer Shoal Lighted Buoy 2,"28-22-50.764N, 080-25-26.554W",Fl R 2.5s,,5,Red.,
650,Southeast Shoal Lighted Buoy 4,"28-23-28.212N, 080-29-07.820W",Fl R 4s,,5,Red.,
653,Scripps Wave Lighted Buoy C,"28-24-00.060N, 080-32-00.060W",Fl (5)Y 20s,,,Yellow can. Marked Wave Buoy,
655,Sebastian Inlet North Jetty Light,"27-51-41.087N, 080-26-51.185W",Fl R 4s,27,,On pile.,
660,Bethel Shoal Lighted Buoy 10,"27-44-19.263N, 080-10-27.100W",Fl R 4s,,5,Red.,
667,UNCW Ft. Pierce Lighted Wave Buoy A,"27-35-50.400N, 080-11-28.723W",Fl Y 4s,,,Yellow.,priv maint.
670,Scripps Wave Lighted Buoy B,"27-33-06.500N, 080-13-01.900W",Fl (5)Y 20s,,,Yellow can. Marked Wave Buoy,
675,Fort Pierce Inlet Lighted Buoy 2,"27-28-39.026N, 080-15-25.216W",Fl R 4s,,5,Red.,
679.5,Oneka Desalination WX Lighted Buoy W2,"27-30-59.500N, 080-14-52.600W",Fl Y 2.5s,,,Yellow.,Private Aid.
680.2,Iceberg II Mooring Point Lighted Buoy SE,"27-26-30.420N, 080-15-40.680W",Q Y,,,Yellow.,Private aid.
680.3,Iceberg II Mooring Point Lighted Buoy SW,"27-26-29.400N, 080-15-44.040W",Q Y,,,Yellow.,Private aid.
680.4,Iceberg II Mooring Point Lighted Buoy NW,"27-26-32.520N, 080-15-45.300W",Q Y,,,Yellow.,Private aid.
680.5,Iceberg II Mooring Point Lighted Buoy NE,"27-26-33.660N, 080-15-42.000W",Q Y,,,Yellow.,Private aid.
680.1,Oneka Desalination Iceberg II Lighted Data Buoy I2,"27-26-31.800N, 080-15-42.960W",Fl Y 4s,,,Yellow.,Private aid.
682,Oneka Desalination Ice Cube Data Lighted Buoy A,"27-26-30.000N, 080-15-47.160W",Fl Y 4s,,,Yellow.,Private aid.
695,St. Lucie Shoal Lighted Buoy 12,"27-23-17.209N, 080-08-01.373W",Fl R 6s,,5,Red.,
700,St. Lucie Power Plant Ocean Discharge Pipeline Obstruction Lighted Buoy,"27-21-21.152N, 080-13-49.170W",Q Y,,,Yellow worded DANGER SUBMERGED DISCHARGE STRUCTURE.,
705,St. Lucie Power Plant Intake Pipe North Obstruction Lighted Buoy,"27-20-53.653N, 080-13-59.171W",Q Y,,,Yellow worded DANGER SUBMERGED INTAKE STRUCTURE.,
706,FPL St. Lucie Plant Breakwater Lighted Buoy A,"27-21-14.865N, 080-14-18.022W",Q Y,,,Marked “Danger Obstruction”,
706.1,FPL St. Lucie Plant Breakwater Lighted Buoy B,"27-21-14.274N, 080-14-15.322W",Q Y,,,Marked “Danger Obstruction”,
706.2,FPL St. Lucie Plant Breakwater Lighted Buoy C,"27-21-12.977N, 080-14-12.595W",Q Y,,,Marked “Danger Obstruction”,
706.3,FPL St. Lucie Plant Breakwater Lighted Buoy D,"27-21-10.696N, 080-14-10.909W",Q Y,,,Marked “Danger Obstruction”,
706.4,FPL St. Lucie Plant Breakwater Lighted Buoy E,"27-21-07.760N, 080-14-09.537W",Q Y,,,Marked “Danger Obstruction”,
706.5,FPL St. Lucie Plant Breakwater Lighted Buoy F,"27-21-05.340N, 080-14-10.521W",Q Y,,,Marked “Danger Obstruction”,
706.6,FPL St. Lucie Plant Breakwater Lighted Buoy G,"27-21-02.394N, 080-14-11.276W",Q Y,,,Marked “Danger Obstruction”,
710,St. Lucie Shoal Buoy 14,"27-18-30.354N, 080-08-47.038W",,,,Red nun.,
715,North Point Groin Obstruction Daybeacon,"27-10-07.000N, 080-09-01.000W",,,,NW on pile worded DANGER GROIN.,
720,St. Lucie Entrance Lighted Buoy 2,"27-10-01.166N, 080-08-22.623W",Fl R 4s,,5,Red.,AIS: MMSI 993672007
725,Jupiter Inlet Light,"26-56-55.048N, 080-04-55.411W",Fl (2)W 30s,146,25,Red brick tower.,Obscured from 231° to 234° when within 5.5 miles.
728,Jupiter Inlet Jetty Obstruction Light,"26-56-36.000N, 080-04-13.800W",Q W,,,NW on pile.,
730,Jupiter Inlet Jetty Light 1,"26-56-36.600N, 080-04-14.600W",Q G,,,SG on pile.,
735,Jupiter Inlet Jetty Light 2,"26-56-40.600N, 080-04-14.300W",Q R,,,TR on pile.,
740,Palm Beach Sailing Club Race Buoy B,"26-49-37.220N, 080-00-17.142W",,,,Orange and white bands; nun.,
745,Lake Worth Lighted Buoy LW,"26-46-21.596N, 080-00-36.230W",Mo (A) W,,6,Red and white stripes with red sperical topmark.,AIS: MMSI 993672006
750,Palm Beach Artificial Reef North Buoy,"26-42-36.848N, 080-01-58.586W",,,,White and orange bands; nun.,
755,Palm Beach Artificial Reef M Buoy,"26-42-16.994N, 080-01-57.969W",,,,White and orange bands; nun.,
760,Palm Beach Artificial Reef South Buoy,"26-41-55.493N, 080-01-57.540W",,,,White and orange bands; nun.,
765,Palm Beach Sailing Club Race Buoy D,"26-42-37.233N, 080-01-41.146W",,,,Orange and white bands; nun.,
770,Red Reef Park Artificial Reef Buoys (6),"26-21-39.778N, 080-04-04.452W",,,,White and orange bands worded ROCK; nun.,
772.1,Boca Raton Inlet North Jetty Light 2,"26-20-09.956N, 080-04-11.266W",,,,TR on pile.,
774,Boca Raton Inlet South Jetty Light 1,"26-20-08.092N, 080-04-13.843W",Q G,,,SG on pile.,
775,Hillsboro Inlet Entrance Light,"26-15-33.055N, 080-04-50.802W",Fl (2)W 20s,136,28,Octagonal pyramidal iron skeleton tower with central stair cylinder lower third of structure white upper two-thirds black.,Obscured from 114° to 119°.
780,Hillsboro Inlet Entrance Lighted Buoy HI,"26-15-07.907N, 080-04-27.857W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,AIS: MMSI 993672673
782,Pompano Beach Fishing Pier Light,"26-14-05.506N, 080-05-10.654W",Fl W 2.5s,35,,On pier.,
785,Gulfstream Sail Club Race Buoy B,"26-08-20.507N, 080-06-00.000W",,,,Yellow can.,
790,Gulfstream Sail Club Race Buoy A,"26-06-49.911N, 080-06-06.000W",,,,Yellow can.,
791,Lauderdale by the Sea Fish Haven Lighted Buoy A,"26-11-11.800N, 080-05-33.600W",,,,Yellow.,
791.1,Lauderdale by the Sea Fish Haven Lighted Buoy B,"26-11-11.500N, 080-05-33.600W",,,,Yellow.,
800,Port Everglades Lighted Buoy PE,"26-05-30.307N, 080-04-45.886W",Mo (A) W,,6,Red and white stripes with red spherical topmark.,AIS: MMSI 993672004
802,Port Everglades Weather Buoy,"26-05-43.800N, 080-05-44.700W",Fl Y 6s,,,Yellow disc-shaped with mast.,Aid maintained by NOAA.
805,Port Everglades Spoil Bank East Daybeacon,"26-05-51.580N, 080-06-01.103W",,,,NW on pile worded DANGER SHOAL.,
807,NSWC Lighted Buoy A,"26-05-30.660N, 080-05-42.300W",Fl Y 4s,,,Yellow. Worded RESTRICTED AREA NO ANCHORAGE.,Aid Maintained by U.S. Navy.
809,NSWC Lighted Buoy C,"26-04-18.240N, 080-05-30.900W",Fl Y 4s,,,Yellow. Worded RESTRICTED AREA NO ANCHORAGE.,Aid maintained by U.S. Navy.
810,NSWC Lighted Buoy D,"26-04-27.120N, 080-06-17.820W",Fl Y 4s,,,Yellow. Worded RESTRICTED AREA NO ANCHORAGE.,Aid maintained by U.S. Navy.
811,NSWC Lighted Buoy E,"26-03-18.360N, 080-05-24.900W",Fl Y 4s,,,Yellow. Worded RESTRICTED AREA NO ANCHORAGE.,Aid maintained by U.S. Navy.
812,NSWC Lighted Buoy F,"26-03-01.200N, 080-06-18.540W",Fl Y 4s,,,Yellow. Worded RESTRICTED AREA NO ANCHORAGE.,Aid maintained by U.S. Navy.
813,Dania Beach Fishing Pier Obs Light,"26-03-28.300N, 080-06-31.800W",F R,18,,On pier.,
814,UCSD 265 Data Lighted Buoy,"26-00-03.960N, 080-05-45.960W",Fl Y 20s,,,Yellow.,
815,Parker Dorado Assoc Obstruction Daybeacon,"25-58-32.329N, 080-07-05.160W",,,,NW on pile worded DANGER SUBMERGED OUTFALL.,
820,Bakers Haulover Inlet Jetty Light,"25-53-56.339N, 080-07-11.461W",Q W,,,NW on pile worded DANGER JETTY.,
825,NOAA Data Lighted Buoy 41004 (ODAS),"32-30-07.000N, 079-05-56.000W",Fl (4)Y 20s,,,Yellow disc-shaped with mast.,
830,NOAA Data Lighted Buoy 41002 (ODAS),"31-44-36.000N, 074-57-18.000W",,,,Yellow boat-shaped with mast.,
833,NOAA Data Lighted Buoy 41008 (ODAS),"31-24-00.000N, 080-51-59.000W",Fl (4)Y 20s,,,Yellow disc-shaped with mast.,
840,NOAA Data Lighted Buoy 41009 (ODAS),"28-30-27.000N, 080-11-06.000W",Fl (4)Y 20s,,,Yellow boat shaped buoy.,
845,NOAA Data Lighted Buoy 41010 (ODAS),"28-52-48.000N, 078-28-48.000W",Fl (4)Y 20s,,,Yellow disc-shaped with mast.,
855,NOAA Data Lighted Buoy 42036 (ODAS),"28-30-03.000N, 084-30-30.000W",Fl (4)Y 20s,,,Yellow disc-shaped with mast.,
860,Navy Data Lighted Buoy,"26-00-49.939N, 079-59-33.975W",Fl Y 10s,,,Orange.,
863,USF C22 Research Buoy,"25-10-12.000N, 083-28-44.400W",Fl Y 4s,,,Yellow disc-shaped with mast.,Aid maintained by the University of South Florida.
865,Elbow Cay Light,"26-32-24.020N, 076-57-24.012W",,120,23,White round tower red bands.,Maintained by Bahama Imperial Lighthouse Service.
870,Great Isaac Light,"26-01-48.019N, 079-05-24.014W",Fl W 15s,152,23,White circular tower.,Maintained by Bahama Imperial Lighthouse Service.
875,Gun Cay Light,"25-34-30.018N, 079-18-48.014W",Fl W 10s,80,23,Conical stone tower upper part red lower part white.,Obscured by the Bimini Isles between 176° and 198° when 8 miles distant. Maintained by Bahama Imperial Lighthouse Service.
895,Miami Lighted Buoy M,"25-46-05.934N, 080-04-59.951W",Mo (A) W,,7,Red and white stripes with red spherical topmark.,AIS: MMSI 993672000
900,Key Biscayne FAD Northwest Buoy,"25-42-49.864N, 080-05-28.159W",,,,Yellow can.,
905,Key Biscayne FAD Northeast Buoy,"25-42-49.863N, 080-04-11.156W",,,,Yellow can.,
910,Key Biscayne FAD Southwest Buoy,"25-41-20.500N, 080-05-28.159W",,,,Yellow can.,
915,Key Biscayne FAD Southeast Buoy,"25-41-20.500N, 080-04-11.156W",,,,Yellow can.,
915.1,Neptune Memorial Reef Buoy AA,"25-42-03.000N, 080-05-28.800W",,,,Yellow can.,
915.2,Neptune Memorial Reef Buoy BB,"25-42-03.000N, 080-05-18.900W",,,,Yellow can.,
915.3,Neptune Memorial Reef Buoy CC,"25-41-54.000N, 080-05-28.800W",,,,Yellow can.,
915.4,Neptune Memorial Reef Buoy DD,"25-41-54.000N, 080-05-18.900W",,,,Yellow can.,
920,Fowey Rocks Light,"25-35-26.267N, 080-05-48.257W",Fl W 10s,110,7,Brown octagonal pyramidal skeleton tower enclosing white stair cycliner and octagonal dwelling; pile foundation.,
923,Cape Florida Light,"25-39-59.900N, 080-09-21.100W",Fl W 6s,95,,White conical tower.,
925,Fowey Rocks Reef Buoy A,"25-35-36.960N, 080-05-49.320W",,,,Yellow sphere.,
925.2,Fowey Rocks Reef Buoy B,"25-35-34.020N, 080-05-35.520W",,,,Yellow sphere.,
925.4,Fowey Rocks Reef Buoy C,"25-34-25.380N, 080-05-51.720W",,,,Yellow sphere.,
925.6,Fowey Rocks Reef Buoy D,"25-34-29.160N, 080-06-05.580W",,,,Yellow sphere.,
927,Alina's Reef Buoy A,"25-23-36.060N, 080-10-07.500W",,,,Yellow sphere.,
927.2,Alina's Reef Buoy B,"25-23-17.040N, 080-09-33.780W",,,,Yellow sphere.,
927.4,Alina's Reef Buoy C,"25-22-52.620N, 080-09-50.460W",,,,Yellow sphere.,
927.6,Alina's Reef Buoy D,"25-23-11.640N, 080-10-24.120W",,,,Yellow sphere.,
930,Marker 3 Reef Buoy A,"25-22-32.040N, 080-09-40.740W",,,,Yellow sphere.,
930.2,Marker 3 Reef Buoy B,"25-22-26.700N, 080-09-26.580W",,,,Yellow sphere.,
930.4,Marker 3 Reef Buoy C,"25-21-57.900N, 080-09-39.780W",,,,Yellow sphere.,
930.6,Marker 3 Reef Buoy D,"25-22-03.300N, 080-09-54.000W",,,,Yellow sphere.,
935,Pacific Reef Light,"25-22-15.565N, 080-08-31.429W",Fl W 4s,44,7,Black skeleton tower on piles.,
937,Lob120 Reef Buoy A,"25-21-41.220N, 080-11-18.660W",,,,Yellow sphere.,
937.2,Lob120 Reef Buoy B,"25-21-40.260N, 080-11-01.380W",,,,Yellow sphere.,
