LLNR,Name,Position,Characteristic,Height,Range,Structure,Remarks
29775,Cedar Keys Main Channel Light 9,"29-05-30.280N, 083-03-32.322W",Fl G 4s,16,4,SG on pile.,
29780,Cedar Keys Main Channel Daybeacon 10,"29-05-45.940N, 083-03-23.183W",,,,TR on pile.,
29785,Cedar Keys Main Channel Daybeacon 12,"29-06-05.600N, 083-03-25.329W",,,,TR on pile.,
29790,Cedar Keys Main Channel Light 14,"29-06-15.158N, 083-03-21.250W",Fl R 2.5s,16,5,TR on pile.,
29795,Cedar Keys Main Channel Daybeacon 16,"29-06-23.960N, 083-03-06.305W",,,,TR on pile.,
29800,Cedar Keys Main Channel Light 18,"29-06-34.657N, 083-02-48.312W",Fl R 4s,16,5,TR on pile.,
29805,Cedar Keys Main Channel Daybeacon 19,"29-06-42.758N, 083-02-42.430W",,,,SG on pile.,
29810,Cedar Keys Main Channel Light 21,"29-06-50.858N, 083-02-25.150W",Q G,16,4,SG on pile.,
29815,Cedar Keys Main Channel Daybeacon 22,"29-06-53.797N, 083-02-17.348W",,,,TR on pile.,
29820,Cedar Keys Main Channel Light 23,"29-07-00.398N, 083-02-19.390W",Fl G 4s,15,5,SG on pile.,
29825,Cedar Keys Main Channel Daybeacon 24,"29-07-10.611N, 083-02-16.769W",,,,TR on pile.,
29830,Cedar Keys Main Channel Daybeacon 25,"29-07-10.238N, 083-02-20.590W",,,,SG on pile.,
29835,Cedar Keys Main Channel Daybeacon 26,"29-07-23.018N, 083-02-19.870W",,,,TR on pile.,
29840,Cedar Keys Main Channel Light 27,"29-07-22.785N, 083-02-23.271W",Q G,17,4,SG on pile.,
29845,Cedar Keys Main Channel Daybeacon 28,"29-07-24.790N, 083-02-24.577W",,,,TR on pile.,
29850,Cedar Keys Main Channel Light 30,"29-07-19.154N, 083-02-40.502W",Q R,16,4,TR on pile.,
29855,Cedar Keys Main Channel Daybeacon 31,"29-07-33.278N, 083-02-30.370W",,,,SG on pile.,
29860,Cedar Keys Main Channel Daybeacon 32,"29-07-31.820N, 083-02-28.327W",,,,TR on pile.,
29865,Cedar Keys Main Channel Daybeacon 34,"29-07-44.078N, 083-02-16.630W",,,,TR on pile.,
29870,Cedar Keys Main Channel Daybeacon 36,"29-07-50.696N, 083-02-02.215W",,,,TR on pile.,
29875,Cedar Key Marina Channel Daybeacon 1,"29-08-01.383N, 083-01-54.035W",,,,SG on pile.,
29880,Cedar Key Marina Channel Daybeacon 2,"29-08-01.183N, 083-01-53.335W",,,,TR on pile.,
29885,Cedar Key Marina Channel Daybeacon 3,"29-08-03.583N, 083-01-53.235W",,,,SG on pile.,
29890,Cedar Key Marina Channel Daybeacon 4,"29-08-03.283N, 083-01-52.635W",,,,TR on pile.,
29895,Cedar Keys South Bar Channel Light 2,"29-07-13.538N, 082-58-50.530W",Fl R 4s,16,5,TR on pile.,
29900,Cedar Keys South Bar Channel Daybeacon 4,"29-07-23.401N, 082-59-22.877W",,,,TR on pile.,
29905,Cedar Keys South Bar Channel Daybeacon 5,"29-07-58.718N, 083-00-43.090W",,,,SG on pile.,
29910,Cedar Keys South Bar Channel Daybeacon 7,"29-08-03.398N, 083-00-47.410W",,,,SG on pile.,
29911,Corrigans Reef Light A,"29-08-25.127N, 082-59-11.904W",Fl Y 2.5s,,,NY on pile.,
29911.1,Corrigans Reef Light B,"29-08-35.353N, 082-59-07.357W",Fl Y 2.5s,,,NY on pile.,
29911.2,Corrigans Reef Light C,"29-08-35.308N, 082-59-09.146W",Fl Y 2.5s,,,NY on pile.,
29911.3,Corrigans Reef Light D,"29-08-44.351N, 082-59-20.508W",Fl Y 2.5s,,,NY on pile.,
29911.4,Corrigans Reef Light E,"29-08-53.398N, 082-59-31.866W",Fl Y 2.5s,,,NY on pile.,
29911.5,Corrigans Reef Light F,"29-09-04.536N, 082-59-45.859W",Fl Y 2.5s,,,NY on pile.,
29911.6,Corrigans Reef Light G,"29-08-57.746N, 082-59-52.872W",Fl Y 2.5s,,,NY on pile.,
29911.7,Corrigans Reef Light H,"29-08-49.999N, 082-59-43.141W",Fl Y 2.5s,,,NY on pile.,
29911.8,Corrigans Reef Light I,"29-08-43.048N, 082-59-34.411W",Fl Y 2.5s,,,NY on pile.,
29911.9,Corrigans Reef Light J,"29-08-36.265N, 082-59-25.894W",Fl Y 2.5s,,,NY on pile.,
29915,Cedar Keys South Bar Channel Daybeacon 8,"29-07-59.978N, 083-01-29.710W",,,,TR on pile.,
29916,Dog Island North Light A,"29-08-49.200N, 083-00-43.200W",Fl Y 2.5s,,,NY on pile.,
29916.1,Dog Island North Light B,"29-08-52.800N, 083-00-36.000W",Fl Y 2.5s,,,NY on pile.,
29916.2,Dog Island North Light C,"29-08-56.400N, 083-00-25.200W",Fl Y 2.5s,,,NY on pile.,
29916.3,Dog Island North Light D,"29-08-59.521N, 083-00-25.214W",Fl Y 2.5s,,,NY on pile.,
29916.4,Dog Island North Light E,"29-09-04.630N, 083-00-10.818W",Fl Y 2.5s,,,NY on pile.,
29916.5,Dog Island North Light F,"29-09-10.930N, 083-00-12.607W",Fl Y 2.5s,,,NY on pile.,
29916.6,Dog Island North Light G,"29-09-15.768N, 083-00-19.264W",Fl Y 2.5s,,,NY on pile.,
29916.7,Dog Island North Light H,"29-09-12.362N, 083-00-28.861W",Fl Y 2.5s,,,NY on pile.,
29916.8,Dog Island North Light I,"29-09-11.614N, 083-00-30.974W",Fl Y 2.5s,,,NY on pile.,
29916.9,Dog Island North Light J,"29-09-10.292N, 083-00-41.454W",Fl Y 2.5s,,,NY on pile.,
29917,Dog Island North Light K,"29-09-04.127N, 083-00-55.588W",Fl Y 2.5s,,,NY on pile.,
29917.1,Dog Island North Light L,"29-09-01.156N, 083-00-54.418W",Fl Y 2.5s,,,NY on pile.,
29917.2,Dog Island East Light A,"29-08-28.428N, 083-00-10.728W",Fl Y 2.5s,,,NY on pile.,
29917.3,Dog Island East Light B,"29-08-31.632N, 083-00-01.404W",Fl Y 2.5s,,,NY on pile.,
29917.4,Dog Island East Light C,"29-08-42.360N, 083-00-04.392W",Fl Y 2.5s,,,NY on pile.,
29917.5,Dog Island East Light D,"29-08-55.661N, 083-00-08.203W",Fl Y 2.5s,,,NY on pile.,
29917.6,Dog Island East Light E,"29-08-50.552N, 083-00-22.599W",Fl Y 2.5s,,,NY on pile.,
29917.7,Dog Island East Light F,"29-08-37.212N, 083-00-18.756W",Fl Y 2.5s,,,NY on pile.,
29917.8,Dog Island East Light G,"29-08-30.948N, 083-00-17.028W",Fl Y 2.5s,,,NY on pile.,
29918,Dog Island Light A,"29-08-21.145N, 083-00-37.760W",Fl Y 2.5s,,,NY on pile.,
29918.1,Dog Island Light B,"29-08-24.652N, 083-00-27.875W",Fl Y 2.5s,,,NY on pile.,
29918.2,Dog Island Light C,"29-08-27.974N, 083-00-18.515W",Fl Y 2.5s,,,NY on pile.,
29918.3,Dog Island Light D,"29-08-40.826N, 083-00-22.169W",Fl Y 2.5s,,,NY on pile.,
29918.4,Dog Island Light E,"29-08-49.801N, 083-00-24.718W",Fl Y 2.5s,,,NY on pile.,
29918.5,Dog Island Light F,"29-08-44.678N, 083-00-39.154W",Fl Y 2.5s,,,NY on pile.,
29918.6,Dog Island Light G,"29-08-39.556N, 083-00-53.590W",Fl Y 2.5s,,,NY on pile.,
29918.7,Dog Island Light H,"29-08-26.470N, 083-00-49.867W",Fl Y 2.5s,,,NY on pile.,
29920,Cedar Keys Northwest Channel Approach Light 2,"29-08-28.965N, 083-07-51.209W",Fl R 2.5s,16,5,TR on pile.,
29925,Cedar Keys Northwest Channel Light 3,"29-08-28.045N, 083-06-11.495W",Fl G 4s,16,5,SG on dolphin.,
29930,Cedar Keys Northwest Channel Daybeacon 4,"29-08-16.790N, 083-05-25.075W",,,,TR on pile.,
29935,Cedar Keys Northwest Channel Light 6,"29-08-12.698N, 083-05-04.834W",Fl R 4s,16,5,TR on dolphin.,
29940,Cedar Keys Northwest Channel Daybeacon 8,"29-08-16.679N, 083-04-28.769W",,,,TR on pile.,
29945,Cedar Keys Northwest Channel Light 9,"29-08-20.875N, 083-04-18.773W",Fl G 4s,16,5,SG on pile.,
29950,Cedar Keys Northwest Channel Daybeacon 10,"29-08-04.495N, 083-03-51.773W",,,,TR on pile.,
29955,Cedar Keys Northwest Channel Light 11,"29-08-07.418N, 083-03-48.490W",Fl G 4s,16,5,SG on dolphin.,
29960,Cedar Keys Northwest Channel Daybeacon 13,"29-07-48.158N, 083-03-39.730W",,,,SG on pile.,
29965,Cedar Keys Northwest Channel Daybeacon 14,"29-07-36.038N, 083-03-40.690W",,,,TR on pile.,
29970,Cedar Keys Northwest Channel Daybeacon 15,"29-07-21.398N, 083-03-36.250W",,,,SG on pile.,
29975,Cedar Keys Northwest Channel Light 16,"29-07-14.918N, 083-03-34.150W",Fl R 4s,16,5,TR on dolphin.,
29980,Cedar Keys Northwest Channel Daybeacon 17,"29-07-16.178N, 083-03-24.970W",,,,SG on pile.,
29985,Cedar Keys Northwest Channel Daybeacon 17A,"29-07-10.058N, 083-03-15.010W",,,,SG on pile.,
29990,Cedar Keys Northwest Channel Light 18,"29-07-08.318N, 083-03-15.250W",Fl R 4s,16,5,TR on pile.,
29995,Cedar Keys Northwest Channel Light 19,"29-07-08.078N, 083-03-06.310W",Fl G 4s,16,5,SG on pile.,
30000,Cedar Keys Northwest Channel Daybeacon 20,"29-07-06.638N, 083-03-06.730W",,,,TR on pile.,
30005,Cedar Keys Northwest Channel Daybeacon 21,"29-07-09.518N, 083-02-59.590W",,,,SG on pile.,
30010,Cedar Key Northwest Channel Daybeacon 22,"29-07-08.138N, 083-02-58.750W",,,,TR on pile.,
30015,Suwannee Sound South Entrance Daybeacon 2,"29-09-17.121N, 083-06-13.520W",,,,TR on pile.,
30020,Suwannee Sound South Entrance Daybeacon 3,"29-09-50.544N, 083-06-10.161W",,,,SG on pile.,
30025,Suwannee Sound South Entrance Daybeacon 5,"29-10-27.955N, 083-06-01.494W",,,,SG on pile.,
30030,Suwannee Sound South Entrance Daybeacon 7,"29-10-36.267N, 083-05-55.634W",,,,SG on pile.,
30035,Suwannee Sound South Entrance Daybeacon 9,"29-10-50.661N, 083-05-42.200W",,,,SG on pile.,
30040,Suwannee Sound South Entrance Daybeacon 11,"29-11-02.961N, 083-05-16.460W",,,,SG on pile.,
30045,Suwannee Sound South Entrance Daybeacon 13,"29-11-08.748N, 083-05-01.716W",,,,SG on pile.,
30050,Suwannee Sound South Entrance Daybeacon 15,"29-11-12.201N, 083-04-53.180W",,,,SG on pile.,
30055,Derrick Key Gap Channel Daybeacon 2,"29-11-29.566N, 083-04-51.030W",,,,TR on pile.,
30060,Derrick Key Gap Channel Daybeacon 3,"29-11-35.935N, 083-04-50.874W",,,,SG on pile.,
30065,Derrick Key Gap Channel Daybeacon 5,"29-11-51.044N, 083-04-57.866W",,,,SG on pile.,
30070,Derrick Key Gap Channel Daybeacon 7,"29-11-52.435N, 083-05-02.454W",,,,SG on pile.,
30075,Derrick Key Gap Channel Daybeacon 8,"29-11-53.489N, 083-05-15.455W",,,,TR on pile.,
30080,Derrick Key Gap Channel Daybeacon 10,"29-12-00.581N, 083-05-30.751W",,,,TR on pile.,
30081,Gulf Jackson Light A,"29-09-14.929N, 083-04-55.406W",Fl Y 2.5s,,,NY on pile.,
30081.1,Gulf Jackson Light B,"29-09-08.861N, 083-04-25.753W",Fl Y 2.5s,,,NY on pile.,
30081.2,Gulf Jackson Light C,"29-09-25.973N, 083-04-21.208W",Fl Y 2.5s,,,NY on pile.,
30081.3,Gulf Jackson Light D,"29-09-37.542N, 083-04-18.135W",Fl Y 2.5s,,,NY on pile.,
30081.4,Gulf Jackson Light E,"29-09-49.110N, 083-04-15.062W",Fl Y 2.5s,,,NY on pile.,
30081.5,Gulf Jackson Light F,"29-10-02.280N, 083-04-27.480W",Fl Y 2.5s,,,NY on pile.,
30081.6,Gulf Jackson Light G,"29-10-12.180N, 083-04-28.164W",Fl Y 2.5s,,,NY on pile.,
30081.7,Gulf Jackson Light H,"29-10-22.332N, 083-04-28.956W",Fl Y 2.5s,,,NY on pile.,
30081.8,Gulf Jackson Light I,"29-10-33.888N, 083-04-29.820W",Fl Y 2.5s,,,NY on pile.,
30081.9,Gulf Jackson Light J,"29-10-43.968N, 083-04-30.540W",Fl Y 2.5s,,,NY on pile.,
30082,Gulf Jackson Light K,"29-10-55.740N, 083-04-31.404W",Fl Y 2.5s,,,NY on pile.,
30082.1,Gulf Jackson Light L,"29-10-54.948N, 083-04-43.212W",Fl Y 2.5s,,,NY on pile.,
30082.2,Gulf Jackson Light M,"29-10-43.392N, 083-04-42.384W",Fl Y 2.5s,,,NY on pile.,
30082.3,Gulf Jackson Light N,"29-10-33.276N, 083-04-41.628W",Fl Y 2.5s,,,NY on pile.,
30082.4,Gulf Jackson Light O,"29-10-21.612N, 083-04-40.836W",Fl Y 2.5s,,,NY on pile.,
30082.5,Gulf Jackson Light P,"29-10-11.424N, 083-04-40.008W",Fl Y 2.5s,,,NY on pile.,
30082.6,Gulf Jackson Light Q,"29-10-01.668N, 083-04-39.288W",Fl Y 2.5s,,,NY on pile.,
30082.7,Gulf Jackson Light R,"29-09-52.164N, 083-04-39.180W",Fl Y 2.5s,,,NY on pile.,
30082.8,Gulf Jackson Light S,"29-09-43.740N, 083-04-47.892W",Fl Y 2.5s,,,NY on pile.,
30082.9,Gulf Jackson Light T,"29-09-32.436N, 083-04-50.916W",Fl Y 2.5s,,,NY on pile.,
30083,Lone Cabbage Reef Obstruction Daybeacon A,"29-15-42.987N, 083-06-46.186W",,,,NW on pile worded DANGER.,
30083.1,Lone Cabbage Reef Obstruction Daybeacon B,"29-15-40.680N, 083-06-43.200W",,,,NW on pile worded DANGER.,
30083.2,Lone Cabbage Reef Obstruction Daybeacon C,"29-15-30.240N, 083-06-25.880W",,,,NW on pile worded DANGER.,
30083.3,Lone Cabbage Reef Obstruction Daybeacon D,"29-15-24.840N, 083-06-25.920W",,,,NW on pile worded DANGER.,
30085,Suwannee River Alligator Pass Light 2,"29-14-20.940N, 083-11-28.260W",Fl R 2.5s,,,TR on dolphin.,
30090,Suwannee River Alligator Pass Daybeacon 4,"29-15-12.480N, 083-10-28.680W",,,,TR on pile.,
30095,Suwannee River Alligator Pass Daybeacon 5,"29-15-21.000N, 083-10-17.700W",,,,SG on pile.,
30100,Suwannee River Alligator Pass Daybeacon 7,"29-15-49.020N, 083-10-05.280W",,,,SG on pile.,
30105,Suwannee River Alligator Pass Daybeacon 8,"29-15-54.960N, 083-10-05.280W",,,,TR on pile.,
30110,Suwannee River Alligator Pass Daybeacon 9,"29-16-02.940N, 083-10-07.080W",,,,SG on pile.,
30115,Suwannee River Alligator Pass Daybeacon 11,"29-16-19.200N, 083-10-03.180W",,,,SG on pile.,
30120,Suwannee River Alligator Pass Daybeacon 13,"29-16-29.280N, 083-10-03.180W",,,,SG on pile.,
30125,Suwannee River Alligator Pass Daybeacon 14,"29-16-39.720N, 083-10-04.440W",,,,TR on pile.,
30130,Suwannee River Alligator Pass Daybeacon 15,"29-16-50.220N, 083-09-56.460W",,,,SG on pile.,
30135,Suwannee River Alligator Pass Daybeacon 17,"29-17-01.020N, 083-09-52.680W",,,,SG on pile.,
30140,Suwannee River Alligator Pass Daybeacon 19,"29-17-11.760N, 083-09-58.320W",,,,SG on pile.,
30145,Suwannee River Alligator Pass Daybeacon 21,"29-17-16.200N, 083-09-57.540W",,,,SG on pile.,
30150,Suwannee River Alligator Pass Daybeacon 23,"29-17-33.180N, 083-09-46.140W",,,,SG on pile.,
30155,Suwannee River Alligator Pass Daybeacon 25,"29-17-43.320N, 083-09-35.640W",,,,SG on pile.,
30160,Suwannee River Alligator Pass Daybeacon 27,"29-18-15.480N, 083-09-16.200W",,,,SG on pile.,
30165,Suwannee River Alligator Pass Daybeacon 29,"29-18-26.400N, 083-08-52.260W",,,,SG on pile.,
30170,Suwannee River McGriff Pass Daybeacon 1,"29-18-34.800N, 083-12-00.060W",,,,SG on pile.,
30175,Suwannee River Mcgriff Pass Daybeacon 2,"29-18-33.120N, 083-12-00.000W",,,,TR on pile.,
30180,Suwannee River Mcgriff Pass Daybeacon 3,"29-18-32.000N, 083-11-52.200W",,,,SG on pile.,
30185,Suwannee River Mcgriff Pass Daybeacon 5,"29-18-29.400N, 083-11-42.060W",,,,SG on pile.,
30190,Suwannee River Mcgriff Pass Daybeacon 5A,"29-18-26.820N, 083-11-30.060W",,,,SG on pile.,
30195,Suwannee River Mcgriff Pass Daybeacon 6,"29-18-24.540N, 083-11-19.200W",,,,TR on pile.,
30200,Suwannee River Mcgriff Pass Daybeacon 7,"29-18-22.537N, 083-11-07.569W",,,,SG on pile.,
30205,Suwannee River Mcgriff Pass Daybeacon 8,"29-18-19.740N, 083-10-55.800W",,,,TR on pile.,
30210,Suwannee River Mcgriff Pass Daybeacon 9,"29-18-18.780N, 083-10-46.320W",,,,SG on pile.,
30215,Suwannee River Mcgriff Pass Daybeacon 10,"29-18-17.700N, 083-10-37.980W",,,,TR on pile.,
30220,Suwannee River Mcgriff Pass Daybeacon 11,"29-18-14.520N, 083-10-27.600W",,,,SG on pile.,
30225,Suwannee River Mcgriff Pass Daybeacon 12,"29-18-14.400N, 083-10-30.360W",,,,TR on pile.,
30230,Suwannee River Mcgriff Pass Daybeacon 15,"29-18-12.660N, 083-10-19.980W",,,,SG on pile.,
30233,Suwannee River Mcgriff Pass Daybeacon 20,"29-18-28.440N, 083-09-58.140W",,,,TR on pile.,
30240,Suwannee River Mcgriff Pass Daybeacon 24,"29-18-26.400N, 083-09-42.660W",,,,TR on pile.,
30245,Suwannee River Mcgriff Pass Daybeacon 28,"29-18-32.348N, 083-09-24.761W",,,,TR on pile.,
30250,Suwannee River Mcgriff Pass Daybeacon 29,"29-18-32.790N, 083-09-16.980W",,,,SG on pile.,
30255,Suwannee River Mcgriff Pass Daybeacon 30,"29-18-34.020N, 083-08-58.140W",,,,TR on pile.,
30260,Suwannee River Mcgriff Pass Daybeacon 31,"29-18-35.160N, 083-08-58.380W",,,,SG on pile.,
30270,Salt Creek Daybeacon 1,"29-18-33.660N, 083-09-53.340W",,,,SG on pile.,
30271,Salt Creek Daybeacon 2,"29-18-33.960N, 083-09-52.080W",,,,TR on pile.,
30275,Salt Creek Daybeacon 4,"29-18-39.540N, 083-09-51.660W",,,,TR on pile.,
30280,Salt Creek Daybeacon 5,"29-18-48.840N, 083-09-50.460W",,,,SG on pile.,
30285,Salt Creek Daybeacon 7,"29-18-53.040N, 083-09-49.200W",,,,SG on pile.,
30290,Salt Creek Daybeacon 9,"29-18-59.700N, 083-09-52.800W",,,,SG on pile.,
30295,Salt Creek Daybeacon 10,"29-19-01.800N, 083-09-56.820W",,,,TR on pile.,
30300,Salt Creek Daybeacon 12,"29-19-08.400N, 083-10-02.160W",,,,TR on pile.,
30305,Salt Creek Daybeacon 15,"29-19-10.800N, 083-09-59.100W",,,,SG on pile.,
30310,Salt Creek Daybeacon 16,"29-19-10.380N, 083-09-58.560W",,,,TR on pile.,
30315,Salt Creek Daybeacon 17,"29-19-12.780N, 083-09-56.280W",,,,SG on pile.,
30320,Salt Creek Daybeacon 18,"29-19-16.380N, 083-09-52.080W",,,,TR on pile.,
30325,Salt Creek Daybeacon 20,"29-19-23.340N, 083-09-44.940W",,,,TR on pile.,
30330,Salt Creek Daybeacon 21,"29-19-33.000N, 083-09-33.060W",,,,SG on pile.,
30335,Salt Creek Daybeacon 22,"29-19-34.680N, 083-09-28.620W",,,,TR on pile.,
30340,Salt Creek Daybeacon 24,"29-19-38.880N, 083-09-21.420W",,,,TR on pile.,
30345,Salt Creek Daybeacon 26,"29-19-42.180N, 083-09-14.820W",,,,TR on pile.,
30350,Salt Creek Daybeacon 28,"29-19-42.000N, 083-09-10.020W",,,,TR on pile.,
30355,Salt Creek Daybeacon 29,"29-19-41.940N, 083-09-05.220W",,,,SG on pile.,
30357,Long Bar Light A,"29-24-02.124N, 083-14-47.112W",Fl Y 2.5s,,,NY on pile.,
30357.1,Long Bar Light B,"29-24-02.088N, 083-14-35.556W",Fl Y 2.5s,,,NY on pile.,
30357.2,Long Bar Light C,"29-24-02.051N, 083-14-24.035W",Fl Y 2.5s,,,NY on pile.,
30357.3,Long Bar Light D,"29-24-01.979N, 083-14-10.860W",Fl Y 2.5s,,,NY on pile.,
30357.4,Long Bar Light E,"29-24-07.920N, 083-14-10.860W",Fl Y 2.5s,,,NY on pile.,
30357.5,Long Bar Light F,"29-24-07.991N, 083-14-23.999W",Fl Y 2.5s,,,NY on pile.,
30357.6,Long Bar Light G,"29-24-08.027N, 083-14-35.556W",Fl Y 2.5s,,,NY on pile.,
30357.7,Long Bar Light H,"29-24-08.063N, 083-14-47.075W",Fl Y 2.5s,,,NY on pile.,
30360,Horseshoe Beach Approach Light 2,"29-23-16.209N, 083-20-24.450W",Fl R 4s,16,5,TR on pile.,
30365,Horseshoe Beach Approach Daybeacon 4,"29-23-39.869N, 083-19-45.264W",,,,TR on pile.,
30370,Horseshoe Beach Approach Daybeacon 5,"29-23-52.090N, 083-19-27.165W",,,,SG on pile.,
30375,Horseshoe Beach Approach Light 7,"29-24-11.014N, 083-18-54.191W",Fl G 4s,16,5,SG on dolphin.,
30380,Horseshoe Beach Approach Light 9,"29-24-35.361N, 083-18-26.840W",Fl G 4s,16,5,SG on dolphin.,
30385,Horseshoe Beach Channel Light 10,"29-24-58.462N, 083-18-19.573W",Fl R 4s,16,5,TR on dolphin.,
30390,Horseshoe Beach Channel Daybeacon 11,"29-24-58.641N, 083-18-20.780W",,,,SG on pile.,
30395,Horseshoe Beach Channel Daybeacon 12,"29-25-21.038N, 083-18-03.851W",,,,TR on pile.,
30400,Horseshoe Beach Channel Daybeacon 13,"29-25-21.201N, 083-18-05.180W",,,,SG on pile.,
30405,Horseshoe Beach Channel Daybeacon 13A,"29-25-30.381N, 083-17-58.400W",,,,SG on pile.,
30410,Horseshoe Beach Channel Daybeacon 14,"29-25-44.191N, 083-17-47.677W",,,,TR on pile.,
30415,Horseshoe Beach Channel Daybeacon 16,"29-25-55.881N, 083-17-39.800W",,,,TR on pile.,
30420,Horseshoe Beach Channel Daybeacon 15,"29-25-44.661N, 083-17-48.680W",,,,SG on pile.,
30425,Horseshoe Beach Channel Light 16A,"29-26-07.131N, 083-17-31.731W",Fl R 4s,16,5,TR on pile.,
30430,Horseshoe Beach Channel Daybeacon 17,"29-26-07.664N, 083-17-32.634W",,,,SG on dolphin.,
30435,Horseshoe Beach Channel Daybeacon 18,"29-26-10.815N, 083-17-28.419W",,,,TR on pile.,
30440,Horseshoe Beach Channel Daybeacon 19,"29-26-11.228N, 083-17-33.016W",,,,SG on pile.,
30445,Horseshoe Beach Channel Daybeacon 21,"29-26-12.087N, 083-17-34.470W",,,,SG on pile.,
30450,Horseshoe Beach Channel Daybeacon 23,"29-26-11.871N, 083-17-38.486W",,,,SG on pile.,
30453,Horseshoe Cove Light A,"29-24-04.000N, 083-15-01.000W",Fl Y 2.5s,,,NY on pile.,
30453.1,Horseshoe Cove Light B,"29-24-16.000N, 083-14-56.000W",Fl Y 2.5s,,,NY on pile.,
30453.2,Horseshoe Cove Light C,"29-24-19.000N, 083-15-08.000W",Fl Y 2.5s,,,NY on pile.,
30453.3,Horseshoe Cove Light D,"29-24-22.000N, 083-15-19.000W",Fl Y 2.5s,,,NY on pile.,
30453.4,Horseshoe Cove Light E,"29-24-25.000N, 083-15-30.000W",Fl Y 2.5s,,,NY on pile.,
30453.5,Horseshoe Cove Light F,"29-24-28.000N, 083-15-41.000W",Fl Y 2.5s,,,NY on pile.,
30453.6,Horseshoe Cove Light G,"29-24-32.000N, 083-15-54.000W",Fl Y 2.5s,,,NY on pile.,
30453.7,Horseshoe Cove Light H,"29-24-20.000N, 083-15-59.000W",Fl Y 2.5s,,,NY on pile.,
30453.8,Horseshoe Cove Light I,"29-24-17.000N, 083-15-48.000W",Fl Y 2.5s,,,NY on pile.,
30453.9,Horseshoe Cove Light J,"29-24-14.000N, 083-15-37.000W",Fl Y 2.5s,,,NY on pile.,
30454,Horseshoe Cove Light K,"29-24-11.000N, 083-15-24.000W",Fl Y 2.5s,,,NY on pile.,
30454.1,Horseshoe Cove Light L,"29-24-08.000N, 083-15-13.000W",Fl Y 2.5s,,,NY on pile.,
30455,Steinhatchee River Light 1,"29-39-23.275N, 083-27-22.614W",Fl G 4s,30,5,SG on dolphin.,
30460,Steinhatchee River Daybeacon 3,"29-39-27.415N, 083-27-04.614W",,,,SG on pile.,
30465,Steinhatchee River Light 5,"29-39-30.801N, 083-26-49.856W",Fl G 6s,16,5,SG on pile.,
30470,Steinhatchee River Daybeacon 7,"29-39-34.609N, 083-26-33.438W",,,,,SG on pile.
30475,Steinhatchee River Daybeacon 8,"29-39-36.471N, 083-26-20.306W",,,,TR on pile.,
30480,Steinhatchee River Light 9,"29-39-38.402N, 083-26-17.898W",Fl G 2.5s,16,5,SG on pile.,
30485,Steinhatchee River Daybeacon 11,"29-39-42.150N, 083-26-01.129W",,,,SG on pile.,
30490,Steinhatchee River Daybeacon 13,"29-39-46.082N, 083-25-44.757W",,,,SG on pile.,
30490.5,Steinhatchee River Daybeacon 14,"29-39-45.061N, 083-25-44.143W",,,,TR on pile.,
30495,Steinhatchee River Daybeacon 15,"29-39-50.102N, 083-25-27.981W",,,,SG on pile.,
30500,Steinhatchee River Daybeacon 16,"29-39-50.963N, 083-25-19.853W",,,,TR on pile.,
30505,Steinhatchee River Light 17,"29-39-54.281N, 083-25-11.052W",Fl G 4s,16,5,SG on pile.,
30510,Steinhatchee River Daybeacon 19,"29-39-57.291N, 083-24-58.591W",,,,SG on pile.,
30515,Steinhatchee River Daybeacon 20,"29-39-56.438N, 083-24-57.996W",,,,TR on pile.,
30520,Steinhatchee River Daybeacon 21,"29-40-01.297N, 083-24-42.959W",,,,SG on pile.,
30525.5,Steinhatchee River Light 22,"29-40-00.066N, 083-24-41.803W",Q R,16,4,TR on pile.,
30530,Steinhatchee River Daybeacon 23,"29-40-02.757N, 083-24-39.404W",,,,SG on pile.,
30540,Steinhatchee River Daybeacon 25,"29-40-06.379N, 083-24-34.837W",,,,SG on pile.,
30545,Steinhatchee River Daybeacon 26,"29-40-07.454N, 083-24-31.508W",,,,TR on pile.,
30545.5,Steinhatchee River Daybeacon 27,"29-40-10.566N, 083-24-28.376W",,,,SG on pile.,
30550,Steinhatchee River Daybeacon 28,"29-40-14.889N, 083-24-20.345W",,,,TR on pile.,
30550.5,Steinhatchee River Light 29,"29-40-15.564N, 083-24-20.819W",Q G,16,4,SG on pile.,
30555,Steinhatchee River Daybeacon 30,"29-40-15.555N, 083-24-16.059W",,,,TR on pile.,
30560,Steinhatchee River Daybeacon 31,"29-40-16.657N, 083-24-14.379W",,,,SG on pile.,
30560.5,Steinhatchee River Light 32,"29-40-16.556N, 083-24-08.490W",Q R,16,4,TR on pile.,
30565,Steinhatchee River Daybeacon 33,"29-40-17.896N, 083-24-08.535W",,,,SG on pile.,
30570,Steinhatchee River Daybeacon 34,"29-40-22.683N, 083-24-03.020W",,,,TR on pile.,
30570.5,Steinhatchee River Light 35,"29-40-25.291N, 083-24-01.108W",Fl G 2.5s,16,5,SG on pile.,
30575,Steinhatchee River Daybeacon 36,"29-40-24.186N, 083-23-58.605W",,,,TR on pile.,
30580,Steinhatchee River Daybeacon 38,"29-40-23.066N, 083-23-53.793W",,,,TR on pile.,
30580.2,Steinhatchee River Buoy 41,"29-40-16.886N, 083-23-39.470W",,,,Green can.,
30580.1,Steinhatchee River Daybeacon 40,"29-40-20.439N, 083-23-47.720W",,,,TR on pile.,
